time,data
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.26,0
1.26,0
1.26,0
1.3,0
1.34,0.00882428
1.4,0.019724258
1.5,0.042923629
1.6,0.053922523
1.7,0.046188859
1.8,0.026721173
1.9,0.010878483
2,0.011456214
2.1,0.02977031
2.2,0.054954113
2.3,0.071800401
2.4,0.071490394
2.5,0.057640086
2.6,0.04352092
2.7,0.042573095
2.8,0.058985595
2.9,0.084938373
3,0.10630814
3.1,0.112677196
3.2,0.104552357
3.3,0.092793005
3.4,0.090800557
3.5,0.105080019
3.6,0.13081498
3.7,0.155457173
3.8,0.167660714
3.9,0.165200353
4,0.15634844
4.1,0.153873771
4.2,0.166008605
4.3,0.190768614
4.4,0.217538134
4.5,0.234669041
4.6,0.23765467
4.7,0.232143462
4.8,0.229782446
4.9,0.239940999
5,0.263190922
5.1,0.291074454
5.2,0.312200167
5.3,0.320274584
5.4,0.318407334
5.5,0.316747588
5.6,0.325236872
5.7,0.346648533
5.8,0.37478266
5.9,0.398980114
6,0.411671406
6.1,0.413614923
6.2,0.413201204
6.3,0.420426112
6.4,0.439857258
6.5,0.467538859
6.6,0.493925777
6.7,0.510674618
6.8,0.516460997
6.9,0.517768172
7,0.524192741
7.1,0.541661586
7.2,0.568350871
7.3,0.596112334
7.4,0.616300762
7.5,0.625835981
7.6,0.629249649
7.7,0.635361707
7.8,0.651018582
7.9,0.676335439
8,0.704744995
8.1,0.727725068
8.2,0.740803049
8.3,0.746607559
8.4,0.752887753
8.5,0.766985395
8.6,0.790699938
8.7,0.819134897
8.8,0.844255831
8.9,0.860576509
9,0.868949844
9.1,0.875845761
9.2,0.888709617
9.3,0.910727993
9.4,0.938678857
9.5,0.965311525
9.6,0.984501504
9.7,0.995516276
9.8,1.003422051
9.9,1.015421824
10,1.035768435
10.1,1.062842706
10.2,1.090400648
10.3,1.112035097
10.4,1.125664721
10.5,1.134906254
10.6,1.146429721
10.7,1.165227015
10.8,1.191147848
10.9,1.219104229
11,1.242728797
11.1,1.258857834
11.2,1.269683479
11.3,1.281113377
11.4,1.298560369
11.5,1.323160726
11.6,1.351060925
11.7,1.376212624
11.8,1.394650227
11.9,1.407226593
12,1.418921152
12.1,1.435271716
12.2,1.458484792
12.3,1.485954566
12.4,1.512180772
12.5,1.532676172
12.6,1.547088509
12.7,1.559365966
12.8,1.574907859
12.9,1.596754636
13,1.623504011
13.1,1.650378905
13.2,1.672637929
13.3,1.688894448
13.4,1.702021686
13.5,1.717057078
13.6,1.737631884
13.7,1.7634551
13.8,1.790593118
13.9,1.814294833
14,1.832334205
14.1,1.846519432
14.2,1.861347596
14.3,1.880802533
14.4,1.905574508
14.5,1.932640529
14.6,1.957453201
14.7,1.977154465
14.8,1.992543721
14.9,2.007446325
